original_artist_id,related_artist_id,related_artist_name
2ye2Wgw4gimLv2eAKyk1NB,5eAWCfyUhZtHHtBdNk56l1,System Of A Down
2ye2Wgw4gimLv2eAKyk1NB,14pVkFUHDL207LzLHtSA18,Pantera
0nmQIMXWTXfhgOBdNzhGOs,05fG473iIaoy82BF1aGhL8,Slipknot
0nmQIMXWTXfhgOBdNzhGOs,7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine
0nmQIMXWTXfhgOBdNzhGOs,5eAWCfyUhZtHHtBdNk56l1,System Of A Down
0nmQIMXWTXfhgOBdNzhGOs,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool
0nmQIMXWTXfhgOBdNzhGOs,2xiIXseIJcq3nG7C8fHeBj,Three Days Grace
7iWiAD5LLKyiox2grgfmUT,37394IP6uhnjIpsawpMu4l,Killswitch Engage
7iWiAD5LLKyiox2grgfmUT,1caBfBEapzw8z2Qz9q0OaQ,Asking Alexandria
7iWiAD5LLKyiox2grgfmUT,2zgG1GPDvjaBgxeQaVXI14,All That Remains
7iWiAD5LLKyiox2grgfmUT,5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin
7iWiAD5LLKyiox2grgfmUT,159qqlGwzE04xyqpfAwRLo,Parkway Drive
05fG473iIaoy82BF1aGhL8,3RNrq3jvMZxD9ZyoOZbQOD,Korn
05fG473iIaoy82BF1aGhL8,5eAWCfyUhZtHHtBdNk56l1,System Of A Down
05fG473iIaoy82BF1aGhL8,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool
05fG473iIaoy82BF1aGhL8,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit
05fG473iIaoy82BF1aGhL8,14pVkFUHDL207LzLHtSA18,Pantera
0CF71zaDOJWCynIkW9bSK8,5imUS9dQyCbAjUEJJ9QyWC,Powerman 5000
0CF71zaDOJWCynIkW9bSK8,6SER9tY2pDIDVWVf5Ql97B,Prong
0CF71zaDOJWCynIkW9bSK8,34c4iQ5tkaZKu6Sv28BTde,Danzig
0CF71zaDOJWCynIkW9bSK8,7JDSHlDdVTo7aZKdQZ53Vf,Static-X
0CF71zaDOJWCynIkW9bSK8,69k6uTSZMPLpSnhmLCiKxQ,Coal Chamber
1IQ2e1buppatiN1bxUVkrk,28hJdGN1Awf7u3ifk2lVkg,Testament
1IQ2e1buppatiN1bxUVkrk,14pVkFUHDL207LzLHtSA18,Pantera
1IQ2e1buppatiN1bxUVkrk,1Yox196W7bzVNZI7RBaPnf,Megadeth
1IQ2e1buppatiN1bxUVkrk,6JW8wliOEwaDZ231ZY7cf4,Sepultura
1IQ2e1buppatiN1bxUVkrk,3JysSUOyfVs1UQ0UaESheP,Anthrax
0cc6vw3VN8YlIcvr1v7tBL,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
0cc6vw3VN8YlIcvr1v7tBL,1dLWg6m8RRhizsdqJbhyj3,Quiet Riot
0cc6vw3VN8YlIcvr1v7tBL,4opTS86dN9uO313J9CE8xg,Skid Row
0cc6vw3VN8YlIcvr1v7tBL,2cnMpRsOVqtPMfq7YiFE6K,Van Halen
0cc6vw3VN8YlIcvr1v7tBL,7b85ve82Sh36a3UAx74wut,Twisted Sister
3JysSUOyfVs1UQ0UaESheP,1Yox196W7bzVNZI7RBaPnf,Megadeth
3JysSUOyfVs1UQ0UaESheP,76S65NHJHrNy4JTrXHP2BH,Exodus
3JysSUOyfVs1UQ0UaESheP,28hJdGN1Awf7u3ifk2lVkg,Testament
3JysSUOyfVs1UQ0UaESheP,1IQ2e1buppatiN1bxUVkrk,Slayer
3JysSUOyfVs1UQ0UaESheP,1DFr97A9HnbV3SKTJFu62M,Motörhead
4opTS86dN9uO313J9CE8xg,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
4opTS86dN9uO313J9CE8xg,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe
4opTS86dN9uO313J9CE8xg,7HL4id2U7FSDJtfKQHMgQx,Cinderella
4opTS86dN9uO313J9CE8xg,7HLvzuM9p11k9lUQfSM4Rq,Warrant
4opTS86dN9uO313J9CE8xg,4CYeVo5iZbtYGBN4Isc3n6,Dio
0DCw6lHkzh9t7f8Hb4Z0Sx,3pulcT2wt7FEG10lQlqDJL,Amon Amarth
0DCw6lHkzh9t7f8Hb4Z0Sx,1xUhNgw4eJDZfvumIpcz1B,Children Of Bodom
0DCw6lHkzh9t7f8Hb4Z0Sx,57ylwQTnFnIhJh4nu4rxCs,In Flames
0DCw6lHkzh9t7f8Hb4Z0Sx,4jpaXieuls7LVzG1uma5Rs,Avatar
0DCw6lHkzh9t7f8Hb4Z0Sx,0lVlNsuGaOr9vMHCZIAKMt,Machine Head
6mdiAmATAx73kdxrNrnlao,2tRsMl4eGxwoNabM08Dm4I,Judas Priest
6mdiAmATAx73kdxrNrnlao,4CYeVo5iZbtYGBN4Isc3n6,Dio
6mdiAmATAx73kdxrNrnlao,1DFr97A9HnbV3SKTJFu62M,Motörhead
6mdiAmATAx73kdxrNrnlao,1Yox196W7bzVNZI7RBaPnf,Megadeth
6mdiAmATAx73kdxrNrnlao,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
3JDIAtVrJdQ7GFOX26LYpv,3BVkDHWRvLJEyKdvhLbjsq,W.A.S.P.
3JDIAtVrJdQ7GFOX26LYpv,71vVmHeNgCVSa5SVmfvscU,Saxon
3JDIAtVrJdQ7GFOX26LYpv,4CzUzn54Cp9TQr6a7JIlMZ,Manowar
3JDIAtVrJdQ7GFOX26LYpv,4pQN0GB0fNEEOfQCaWotsY,Helloween
3JDIAtVrJdQ7GFOX26LYpv,5XDeFQDarnwpR5WAfD6S0d,Warlock
3pulcT2wt7FEG10lQlqDJL,0DCw6lHkzh9t7f8Hb4Z0Sx,Arch Enemy
3pulcT2wt7FEG10lQlqDJL,1xUhNgw4eJDZfvumIpcz1B,Children Of Bodom
3pulcT2wt7FEG10lQlqDJL,57ylwQTnFnIhJh4nu4rxCs,In Flames
3pulcT2wt7FEG10lQlqDJL,0lVlNsuGaOr9vMHCZIAKMt,Machine Head
3pulcT2wt7FEG10lQlqDJL,4jpaXieuls7LVzG1uma5Rs,Avatar
6SER9tY2pDIDVWVf5Ql97B,1BBIIH0h76KN8gYeXFcPjR,Corrosion Of Conformity
6SER9tY2pDIDVWVf5Ql97B,1m0B9ak05G0jqDY4ACLhQu,DOWN
6SER9tY2pDIDVWVf5Ql97B,3up7wqUGMUTm0184V57RTH,Probot
