,artist_id,artist_name,track_name,track_popularity,track_uri,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Cluster
46,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,"Girls, Girls, Girls",68,spotify:track:3439OLNIeD3y68kVuoZUO5,2,0.599,0.922,7,-4.887,1,0.0739,0.025,5.82e-05,0.356,0.514,140.098,audio_features,3439OLNIeD3y68kVuoZUO5,spotify:track:3439OLNIeD3y68kVuoZUO5,https://api.spotify.com/v1/tracks/3439OLNIeD3y68kVuoZUO5,https://api.spotify.com/v1/audio-analysis/3439OLNIeD3y68kVuoZUO5,270533,4,7
47,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Dr. Feelgood,66,spotify:track:5dnwXK73BDZ0H2L06ZrKcE,3,0.53,0.968,2,-3.941,1,0.0753,0.000702,0.0118,0.228,0.338,110.974,audio_features,5dnwXK73BDZ0H2L06ZrKcE,spotify:track:5dnwXK73BDZ0H2L06ZrKcE,https://api.spotify.com/v1/tracks/5dnwXK73BDZ0H2L06ZrKcE,https://api.spotify.com/v1/audio-analysis/5dnwXK73BDZ0H2L06ZrKcE,289920,4,0
48,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Home Sweet Home,66,spotify:track:1kvq7ksGQWSyRysYYNd6lu,4,0.397,0.776,5,-6.339,1,0.0381,0.0983,4.09e-06,0.189,0.127,76.301,audio_features,1kvq7ksGQWSyRysYYNd6lu,spotify:track:1kvq7ksGQWSyRysYYNd6lu,https://api.spotify.com/v1/tracks/1kvq7ksGQWSyRysYYNd6lu,https://api.spotify.com/v1/audio-analysis/1kvq7ksGQWSyRysYYNd6lu,239667,4,4
49,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Shout at the Devil,64,spotify:track:4VFNyv0nVew5C878WDsPvE,5,0.5,0.946,5,-5.428,1,0.072,0.0221,4.21e-05,0.068,0.449,94.542,audio_features,4VFNyv0nVew5C878WDsPvE,spotify:track:4VFNyv0nVew5C878WDsPvE,https://api.spotify.com/v1/tracks/4VFNyv0nVew5C878WDsPvE,https://api.spotify.com/v1/audio-analysis/4VFNyv0nVew5C878WDsPvE,194987,4,5
50,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,Paranoid - 2009 Remaster,77,spotify:track:3Jnxngdff0lVu2rza1GVx6,1,0.423,0.685,4,-9.651,0,0.078,6.28e-05,0.00642,0.133,0.328,162.78,audio_features,3Jnxngdff0lVu2rza1GVx6,spotify:track:3Jnxngdff0lVu2rza1GVx6,https://api.spotify.com/v1/tracks/3Jnxngdff0lVu2rza1GVx6,https://api.spotify.com/v1/audio-analysis/3Jnxngdff0lVu2rza1GVx6,167720,4,2
51,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,Iron Man - 2009 Remaster,67,spotify:track:755bvJDSA3LNcNuFgBT9LK,2,0.334,0.828,9,-9.168,1,0.0985,0.00312,0.0043,0.0949,0.515,157.891,audio_features,755bvJDSA3LNcNuFgBT9LK,spotify:track:755bvJDSA3LNcNuFgBT9LK,https://api.spotify.com/v1/tracks/755bvJDSA3LNcNuFgBT9LK,https://api.spotify.com/v1/audio-analysis/755bvJDSA3LNcNuFgBT9LK,354213,4,3
52,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,War Pigs - 2009 Remaster,65,spotify:track:6TYQRlRci6AkVrN9a5C7ne,3,0.369,0.679,6,-9.729,0,0.0742,0.128,0.0125,0.197,0.508,91.883,audio_features,6TYQRlRci6AkVrN9a5C7ne,spotify:track:6TYQRlRci6AkVrN9a5C7ne,https://api.spotify.com/v1/tracks/6TYQRlRci6AkVrN9a5C7ne,https://api.spotify.com/v1/audio-analysis/6TYQRlRci6AkVrN9a5C7ne,475000,4,6
53,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,N.I.B. - 2009 Remaster,63,spotify:track:3XclwoQxz4p6Dl7VUf90KW,4,0.463,0.552,4,-9.403,0,0.0605,0.141,9.66e-06,0.129,0.421,105.495,audio_features,3XclwoQxz4p6Dl7VUf90KW,spotify:track:3XclwoQxz4p6Dl7VUf90KW,https://api.spotify.com/v1/tracks/3XclwoQxz4p6Dl7VUf90KW,https://api.spotify.com/v1/audio-analysis/3XclwoQxz4p6Dl7VUf90KW,366173,4,8
54,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,Heaven and Hell,62,spotify:track:5qxN63QA4Hk1zgdLCsZFE2,5,0.333,0.445,3,-16.343,0,0.0283,0.00858,0.0451,0.167,0.35,89.371,audio_features,5qxN63QA4Hk1zgdLCsZFE2,spotify:track:5qxN63QA4Hk1zgdLCsZFE2,https://api.spotify.com/v1/tracks/5qxN63QA4Hk1zgdLCsZFE2,https://api.spotify.com/v1/audio-analysis/5qxN63QA4Hk1zgdLCsZFE2,417840,4,8
55,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,Chop Suey!,83,spotify:track:2DlHlPMa4M17kufBvI2lEN,1,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,audio_features,2DlHlPMa4M17kufBvI2lEN,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4,0
