track_name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
My Curse,Killswitch Engage,37394IP6uhnjIpsawpMu4l,0.197,0.956,10,-2.908,0,0.0663,7.61e-05,0.00992,0.261,0.209,177.018,audio_features,6zKF4293k44ItKWJJgrhXv,spotify:track:6zKF4293k44ItKWJJgrhXv,https://api.spotify.com/v1/tracks/6zKF4293k44ItKWJJgrhXv,https://api.spotify.com/v1/audio-analysis/6zKF4293k44ItKWJJgrhXv,244773,3
Schism,TOOL,2yEwvVSSSUkcLeSTNyHKh8,0.567,0.714,9,-8.512,0,0.0302,0.0012,0.417,0.186,0.191,107.441,audio_features,55mJleti2WfWEFNFcBduhc,spotify:track:55mJleti2WfWEFNFcBduhc,https://api.spotify.com/v1/tracks/55mJleti2WfWEFNFcBduhc,https://api.spotify.com/v1/audio-analysis/55mJleti2WfWEFNFcBduhc,403533,3
Kings of Metal,Manowar,4CzUzn54Cp9TQr6a7JIlMZ,0.575,0.881,9,-13.012,1,0.0357,0.000117,2.69e-05,0.147,0.699,132.127,audio_features,28TcG73tbc4iGrGBFjiBnR,spotify:track:28TcG73tbc4iGrGBFjiBnR,https://api.spotify.com/v1/tracks/28TcG73tbc4iGrGBFjiBnR,https://api.spotify.com/v1/audio-analysis/28TcG73tbc4iGrGBFjiBnR,223867,4
Are You Dead Yet?,Children Of Bodom,1xUhNgw4eJDZfvumIpcz1B,0.461,0.961,8,-3.011,1,0.0479,6.39e-06,0.14,0.308,0.416,96.009,audio_features,2T2vudIHfVMA5ychWTU3KA,spotify:track:2T2vudIHfVMA5ychWTU3KA,https://api.spotify.com/v1/tracks/2T2vudIHfVMA5ychWTU3KA,https://api.spotify.com/v1/audio-analysis/2T2vudIHfVMA5ychWTU3KA,234880,4
School's Out,Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,audio_features,5Z8EDau8uNcP1E8JvmfkZe,spotify:track:5Z8EDau8uNcP1E8JvmfkZe,https://api.spotify.com/v1/tracks/5Z8EDau8uNcP1E8JvmfkZe,https://api.spotify.com/v1/audio-analysis/5Z8EDau8uNcP1E8JvmfkZe,210107,4
Nobody's Fool,Cinderella,7HL4id2U7FSDJtfKQHMgQx,0.367,0.445,9,-13.615,0,0.0286,0.0478,0.00284,0.163,0.149,67.197,audio_features,01Q4wU19hamqnhNjtuvTyI,spotify:track:01Q4wU19hamqnhNjtuvTyI,https://api.spotify.com/v1/tracks/01Q4wU19hamqnhNjtuvTyI,https://api.spotify.com/v1/audio-analysis/01Q4wU19hamqnhNjtuvTyI,287400,4
Symbolic,Death,4f5V3PQ66nIrBCqugJtaGn,0.364,0.982,6,-7.034,0,0.195,6.65e-05,0.0124,0.163,0.127,113.772,audio_features,0dpFb4qv92TE9R00Lq4SAW,spotify:track:0dpFb4qv92TE9R00Lq4SAW,https://api.spotify.com/v1/tracks/0dpFb4qv92TE9R00Lq4SAW,https://api.spotify.com/v1/audio-analysis/0dpFb4qv92TE9R00Lq4SAW,392800,4
Ritual,Ghost,1Qp56T7n950O3EGMsSl81D,0.67,0.864,0,-5.2,0,0.0525,0.0894,2.65e-05,0.119,0.732,132.011,audio_features,4hxd9xX8SNH0R2XSrXRATW,spotify:track:4hxd9xX8SNH0R2XSrXRATW,https://api.spotify.com/v1/tracks/4hxd9xX8SNH0R2XSrXRATW,https://api.spotify.com/v1/audio-analysis/4hxd9xX8SNH0R2XSrXRATW,268747,4
Nemo,Nightwish,2NPduAUeLVsfIauhRwuft1,0.491,0.744,3,-6.306,1,0.0351,0.000158,0.000102,0.325,0.375,125.058,audio_features,2edSHS8PhbiPgLxQhMpMkO,spotify:track:2edSHS8PhbiPgLxQhMpMkO,https://api.spotify.com/v1/tracks/2edSHS8PhbiPgLxQhMpMkO,https://api.spotify.com/v1/audio-analysis/2edSHS8PhbiPgLxQhMpMkO,279373,4
To Hell and Back,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,0.536,0.849,0,-4.702,1,0.0616,0.00318,0.00197,0.104,0.305,127.002,audio_features,12dbm3GD7mGrySotwE6dm5,spotify:track:12dbm3GD7mGrySotwE6dm5,https://api.spotify.com/v1/tracks/12dbm3GD7mGrySotwE6dm5,https://api.spotify.com/v1/audio-analysis/12dbm3GD7mGrySotwE6dm5,206547,4
You Can't Bring Me Down,Suicidal Tendencies,3WPKDlucMsXH6FC1XaclZC,0.272,0.958,0,-10.797,1,0.381,0.00195,4.63e-05,0.0915,0.0382,136.867,audio_features,203xxdlledLFnkqrUleD72,spotify:track:203xxdlledLFnkqrUleD72,https://api.spotify.com/v1/tracks/203xxdlledLFnkqrUleD72,https://api.spotify.com/v1/audio-analysis/203xxdlledLFnkqrUleD72,348093,4
Brotherhood of the Snake,Testament,28hJdGN1Awf7u3ifk2lVkg,0.289,0.989,1,-4.006,1,0.11,6e-06,0.179,0.122,0.198,136.419,audio_features,4VcN84ZdC7doe4yoIarJUA,spotify:track:4VcN84ZdC7doe4yoIarJUA,https://api.spotify.com/v1/tracks/4VcN84ZdC7doe4yoIarJUA,https://api.spotify.com/v1/audio-analysis/4VcN84ZdC7doe4yoIarJUA,253989,4
Redneck,Lamb of God,3JFsVIxOn7STeilPICkkB2,0.512,0.996,2,-2.1,1,0.114,5.63e-05,0.000167,0.347,0.0601,130.931,audio_features,6Q5j7UxkHMETQrn1ZCuoCE,spotify:track:6Q5j7UxkHMETQrn1ZCuoCE,https://api.spotify.com/v1/tracks/6Q5j7UxkHMETQrn1ZCuoCE,https://api.spotify.com/v1/audio-analysis/6Q5j7UxkHMETQrn1ZCuoCE,220880,4
Vote with a Bullet,Corrosion Of Conformity,1BBIIH0h76KN8gYeXFcPjR,0.493,0.938,11,-6.526,1,0.105,4.7e-05,0.0339,0.0851,0.567,136.521,audio_features,5Z7U8TRHAlX2uL2lVYv5Wa,spotify:track:5Z7U8TRHAlX2uL2lVYv5Wa,https://api.spotify.com/v1/tracks/5Z7U8TRHAlX2uL2lVYv5Wa,https://api.spotify.com/v1/audio-analysis/5Z7U8TRHAlX2uL2lVYv5Wa,205507,4
Blow Your Trumpets Gabriel,Behemoth,1MK0sGeyTNkbefYGj673e9,0.173,0.938,6,-4.642,1,0.0807,0.000216,0.00244,0.271,0.176,118.064,audio_features,4JynkH6Oa9cJ0zUTzYA2UP,spotify:track:4JynkH6Oa9cJ0zUTzYA2UP,https://api.spotify.com/v1/tracks/4JynkH6Oa9cJ0zUTzYA2UP,https://api.spotify.com/v1/audio-analysis/4JynkH6Oa9cJ0zUTzYA2UP,265440,4
